Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-09 00:00:00+05:30,179.7,179.7,179.7,179.7,0,0.0,0.0
2025-04-10 00:00:00+05:30,179.65,179.65,179.65,179.65,0,0.0,0.0
2025-04-11 00:00:00+05:30,179.65,179.65,179.65,179.65,0,0.0,0.0
2025-04-14 00:00:00+05:30,179.55,179.55,179.55,179.55,0,0.0,0.0
2025-04-15 00:00:00+05:30,179.5,179.5,179.5,179.5,0,0.0,0.0
2025-04-16 00:00:00+05:30,179.45,179.45,179.45,179.45,0,0.0,0.0
2025-04-17 00:00:00+05:30,179.45,179.45,179.45,179.45,0,0.0,0.0
2025-04-21 00:00:00+05:30,179.3,179.3,179.3,179.3,0,0.0,0.0
2025-04-22 00:00:00+05:30,179.3,179.3,179.3,179.3,0,0.0,0.0
2025-04-23 00:00:00+05:30,179.25,179.25,179.25,179.25,0,0.0,0.0
2025-04-24 00:00:00+05:30,179.2,179.2,179.2,179.2,0,0.0,0.0
2025-04-25 00:00:00+05:30,179.2,179.2,179.2,179.2,0,0.0,0.0
2025-04-28 00:00:00+05:30,179.1,179.1,179.1,179.1,0,0.0,0.0
